elec_date,county_name,entity_description,race_number,race_description,race_party,tot_race_prec,race_prec_reporting,cand_number,cand_name,cand_party,cand_absmail_votes,cand_early_votes,cand_elecday_votes,cand_tot_votes
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",20024,COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 2 - ROBERT BOBBY BELL,,17,17,1,YES,,72,157,2261,2490
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",20024,COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 2 - ROBERT BOBBY BELL,,17,17,2,NO,,48,141,1821,2010
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",20025,"COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 1 - E. BAY MITCHELL, III",,17,17,1,YES,,80,155,2253,2488
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",20025,"COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 1 - E. BAY MITCHELL, III",,17,17,2,NO,,41,145,1849,2035
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",20026,COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 2 - BRIAN JACK GOREE,,17,17,1,YES,,78,156,2234,2468
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",20026,COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 2 - BRIAN JACK GOREE,,17,17,2,NO,,40,143,1771,1954
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",30002,STATE QUESTION NO. 793 INITIATIVE PETITION NO. 415,,17,17,1,FOR THE PROPOSAL - YES,,73,178,2328,2579
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",30002,STATE QUESTION NO. 793 INITIATIVE PETITION NO. 415,,17,17,2,AGAINST THE PROPOSAL - NO,,54,159,2234,2447
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",30003,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,,17,17,1,FOR THE PROPOSAL - YES,,101,236,3453,3790
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",30003,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,,17,17,2,AGAINST THE PROPOSAL - NO,,28,103,1095,1226
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",30004,STATE QUESTION NO. 798 LEGISLATIVE REFERENDUM NO. 372,,17,17,1,FOR THE PROPOSAL - YES,,52,150,1975,2177
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",30004,STATE QUESTION NO. 798 LEGISLATIVE REFERENDUM NO. 372,,17,17,2,AGAINST THE PROPOSAL - NO,,76,185,2545,2806
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",30005,STATE QUESTION NO. 800 LEGISLATIVE REFERENDUM NO. 373,,17,17,1,FOR THE PROPOSAL - YES,,52,111,1682,1845
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",30005,STATE QUESTION NO. 800 LEGISLATIVE REFERENDUM NO. 373,,17,17,2,AGAINST THE PROPOSAL - NO,,72,221,2798,3091
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",30006,STATE QUESTION NO. 801 LEGISLATIVE REFERENDUM NO. 374,,17,17,1,FOR THE PROPOSAL - YES,,54,141,1956,2151
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",30006,STATE QUESTION NO. 801 LEGISLATIVE REFERENDUM NO. 374,,17,17,2,AGAINST THE PROPOSAL - NO,,74,194,2561,2829
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",10001,FOR GOVERNOR,,8,8,1,CHRIS POWELL,LIB,1,4,72,77
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",10001,FOR GOVERNOR,,8,8,2,KEVIN STITT,REP,41,105,1185,1331
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",10001,FOR GOVERNOR,,8,8,3,DREW EDMONDSON,DEM,18,35,338,391
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",10002,FOR LIEUTENANT GOVERNOR,,8,8,1,MATT PINNELL,REP,42,125,1325,1492
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",10002,FOR LIEUTENANT GOVERNOR,,8,8,2,ANASTASIA A. PITTMAN,DEM,15,14,208,237
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",10002,FOR LIEUTENANT GOVERNOR,,8,8,3,IVAN HOLMES,IND,3,4,53,60
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",10003,FOR STATE AUDITOR AND INSPECTOR,,8,8,1,JOHN YEUTTER,LIB,9,7,170,186
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",10003,FOR STATE AUDITOR AND INSPECTOR,,8,8,2,CINDY BYRD,REP,45,131,1385,1561
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",10004,FOR ATTORNEY GENERAL,,8,8,1,MIKE HUNTER,REP,44,116,1327,1487
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",10004,FOR ATTORNEY GENERAL,,8,8,2,MARK MYLES,DEM,15,28,255,298
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",10005,FOR STATE TREASURER,,8,8,1,RANDY McDANIEL,REP,46,128,1387,1561
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",10005,FOR STATE TREASURER,,8,8,2,CHARLES de COUNE,IND,10,12,166,188
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",10006,FOR SUPERINTENDENT OF PUBLIC INSTRUCTION,,8,8,1,JOY HOFMEISTER,REP,42,110,1209,1361
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",10006,FOR SUPERINTENDENT OF PUBLIC INSTRUCTION,,8,8,2,JOHN COX,DEM,12,26,251,289
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",10006,FOR SUPERINTENDENT OF PUBLIC INSTRUCTION,,8,8,3,LARRY HUFF,IND,6,5,126,137
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",10007,FOR COMMISSIONER OF LABOR,,8,8,1,LESLIE OSBORN,REP,45,122,1277,1444
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",10007,FOR COMMISSIONER OF LABOR,,8,8,2,FRED DORRELL,DEM,11,20,216,247
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",10007,FOR COMMISSIONER OF LABOR,,8,8,3,BRANDT DISMUKES,IND,3,3,74,80
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",10008,FOR INSURANCE COMMISSIONER,,8,8,1,GLEN MULREADY,REP,45,125,1314,1484
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",10008,FOR INSURANCE COMMISSIONER,,8,8,2,KIMBERLY FOBBS,DEM,13,18,253,284
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",10009,FOR CORPORATION COMMISSIONER,,8,8,1,BOB ANTHONY,REP,40,122,1252,1414
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",10009,FOR CORPORATION COMMISSIONER,,8,8,2,ASHLEY NICOLE McCRAY,DEM,15,17,240,272
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",10009,FOR CORPORATION COMMISSIONER,,8,8,3,JACKIE SHORT,IND,5,5,86,96
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",10012,FOR UNITED STATES REPRESENTATIVE DISTRICT 03,,8,8,1,FRANK D. LUCAS,REP,45,125,1375,1545
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",10012,FOR UNITED STATES REPRESENTATIVE DISTRICT 03,,8,8,2,FRANKIE ROBBINS,DEM,15,20,213,248
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",10399,FOR COUNTY COMMISSIONER DISTRICT NO. 3,,3,3,1,MARVIN WOODALL,REP,14,22,492,528
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",10399,FOR COUNTY COMMISSIONER DISTRICT NO. 3,,3,3,2,RANDY NICKEL,DEM,2,1,45,48
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",20002,SUPREME COURT DISTRICT 2 - PATRICK WYRICK,,8,8,1,YES,,31,78,883,992
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",20002,SUPREME COURT DISTRICT 2 - PATRICK WYRICK,,8,8,2,NO,,19,51,575,645
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",20003,SUPREME COURT DISTRICT 3 - NOMA D. GURICH,,8,8,1,YES,,28,72,849,949
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",20003,SUPREME COURT DISTRICT 3 - NOMA D. GURICH,,8,8,2,NO,,22,54,609,685
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",20004,SUPREME COURT DISTRICT 4 - YVONNE KAUGER,,8,8,1,YES,,29,69,843,941
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",20004,SUPREME COURT DISTRICT 4 - YVONNE KAUGER,,8,8,2,NO,,21,58,610,689
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",20007,SUPREME COURT DISTRICT 7 - JAMES E. EDMONDSON,,8,8,1,YES,,23,65,820,908
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",20007,SUPREME COURT DISTRICT 7 - JAMES E. EDMONDSON,,8,8,2,NO,,27,62,639,728
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",20010,COURT OF CRIMINAL APPEALS DISTRICT 1 - DANA KUEHN,,8,8,1,YES,,28,75,878,981
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",20010,COURT OF CRIMINAL APPEALS DISTRICT 1 - DANA KUEHN,,8,8,2,NO,,22,51,579,652
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",20013,COURT OF CRIMINAL APPEALS DISTRICT 4 - SCOTT ROWLAND,,8,8,1,YES,,29,70,886,985
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",20013,COURT OF CRIMINAL APPEALS DISTRICT 4 - SCOTT ROWLAND,,8,8,2,NO,,21,56,567,644
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",20014,COURT OF CRIMINAL APPEALS DISTRICT 5 - DAVID B. LEWIS,,8,8,1,YES,,27,71,867,965
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",20014,COURT OF CRIMINAL APPEALS DISTRICT 5 - DAVID B. LEWIS,,8,8,2,NO,,23,55,571,649
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",20021,COURT OF CIVIL APPEALS DISTRICT 4 - OFFICE 1 - BARBARA GREEN SWINTON,,8,8,1,YES,,24,72,852,948
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",20021,COURT OF CIVIL APPEALS DISTRICT 4 - OFFICE 1 - BARBARA GREEN SWINTON,,8,8,2,NO,,26,54,590,670
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",20023,COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 1 - KENNETH L. BUETTNER,,8,8,1,YES,,26,69,851,946
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",20023,COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 1 - KENNETH L. BUETTNER,,8,8,2,NO,,24,57,590,671
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",20024,COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 2 - ROBERT BOBBY BELL,,8,8,1,YES,,26,71,857,954
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",20024,COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 2 - ROBERT BOBBY BELL,,8,8,2,NO,,24,54,584,662
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",20025,"COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 1 - E. BAY MITCHELL, III",,8,8,1,YES,,26,68,857,951
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",20025,"COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 1 - E. BAY MITCHELL, III",,8,8,2,NO,,23,57,588,668
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",20026,COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 2 - BRIAN JACK GOREE,,8,8,1,YES,,27,68,855,950
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",20026,COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 2 - BRIAN JACK GOREE,,8,8,2,NO,,23,58,588,669
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",30002,STATE QUESTION NO. 793 INITIATIVE PETITION NO. 415,,8,8,1,FOR THE PROPOSAL - YES,,25,44,572,641
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",30002,STATE QUESTION NO. 793 INITIATIVE PETITION NO. 415,,8,8,2,AGAINST THE PROPOSAL - NO,,33,101,1008,1142
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",30003,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,,8,8,1,FOR THE PROPOSAL - YES,,49,116,1236,1401
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",30003,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,,8,8,2,AGAINST THE PROPOSAL - NO,,7,29,342,378
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",30004,STATE QUESTION NO. 798 LEGISLATIVE REFERENDUM NO. 372,,8,8,1,FOR THE PROPOSAL - YES,,34,78,747,859
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",30004,STATE QUESTION NO. 798 LEGISLATIVE REFERENDUM NO. 372,,8,8,2,AGAINST THE PROPOSAL - NO,,25,66,816,907
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",30005,STATE QUESTION NO. 800 LEGISLATIVE REFERENDUM NO. 373,,8,8,1,FOR THE PROPOSAL - YES,,22,44,561,627
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",30005,STATE QUESTION NO. 800 LEGISLATIVE REFERENDUM NO. 373,,8,8,2,AGAINST THE PROPOSAL - NO,,32,100,997,1129
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",30006,STATE QUESTION NO. 801 LEGISLATIVE REFERENDUM NO. 374,,8,8,1,FOR THE PROPOSAL - YES,,26,42,588,656
11/06/2018,ALFALFA,"FEDERAL, STATE AND COUNTY",30006,STATE QUESTION NO. 801 LEGISLATIVE REFERENDUM NO. 374,,8,8,2,AGAINST THE PROPOSAL - NO,,30,102,982,1114
11/06/2018,ATOKA,"FEDERAL, STATE AND COUNTY",10001,FOR GOVERNOR,,17,17,1,CHRIS POWELL,LIB,4,18,73,95
11/06/2018,ATOKA,"FEDERAL, STATE AND COUNTY",10001,FOR GOVERNOR,,17,17,2,KEVIN STITT,REP,62,483,2232,2777
11/06/2018,ATOKA,"FEDERAL, STATE AND COUNTY",10001,FOR GOVERNOR,,17,17,3,DREW EDMONDSON,DEM,40,224,886,1150
11/06/2018,ATOKA,"FEDERAL, STATE AND COUNTY",10002,FOR LIEUTENANT GOVERNOR,,17,17,1,MATT PINNELL,REP,64,505,2349,2918
11/06/2018,ATOKA,"FEDERAL, STATE AND COUNTY",10002,FOR LIEUTENANT GOVERNOR,,17,17,2,ANASTASIA A. PITTMAN,DEM,37,194,691,922
11/06/2018,ATOKA,"FEDERAL, STATE AND COUNTY",10002,FOR LIEUTENANT GOVERNOR,,17,17,3,IVAN HOLMES,IND,3,15,102,120
11/06/2018,ATOKA,"FEDERAL, STATE AND COUNTY",10003,FOR STATE AUDITOR AND INSPECTOR,,17,17,1,JOHN YEUTTER,LIB,13,91,395,499
11/06/2018,ATOKA,"FEDERAL, STATE AND COUNTY",10003,FOR STATE AUDITOR AND INSPECTOR,,17,17,2,CINDY BYRD,REP,75,570,2606,3251
11/06/2018,ATOKA,"FEDERAL, STATE AND COUNTY",10004,FOR ATTORNEY GENERAL,,17,17,1,MIKE HUNTER,REP,64,498,2383,2945
11/06/2018,ATOKA,"FEDERAL, STATE AND COUNTY",10004,FOR ATTORNEY GENERAL,,17,17,2,MARK MYLES,DEM,36,207,735,978
11/06/2018,ATOKA,"FEDERAL, STATE AND COUNTY",10005,FOR STATE TREASURER,,17,17,1,RANDY McDANIEL,REP,72,561,2598,3231
11/06/2018,ATOKA,"FEDERAL, STATE AND COUNTY",10005,FOR STATE TREASURER,,17,17,2,CHARLES de COUNE,IND,20,92,416,528
11/06/2018,ATOKA,"FEDERAL, STATE AND COUNTY",10006,FOR SUPERINTENDENT OF PUBLIC INSTRUCTION,,17,17,1,JOY HOFMEISTER,REP,62,429,2095,2586
11/06/2018,ATOKA,"FEDERAL, STATE AND COUNTY",10006,FOR SUPERINTENDENT OF PUBLIC INSTRUCTION,,17,17,2,JOHN COX,DEM,37,231,830,1098
11/06/2018,ATOKA,"FEDERAL, STATE AND COUNTY",10006,FOR SUPERINTENDENT OF PUBLIC INSTRUCTION,,17,17,3,LARRY HUFF,IND,1,44,232,277
11/06/2018,ATOKA,"FEDERAL, STATE AND COUNTY",10007,FOR COMMISSIONER OF LABOR,,17,17,1,LESLIE OSBORN,REP,65,483,2249,2797
11/06/2018,ATOKA,"FEDERAL, STATE AND COUNTY",10007,FOR COMMISSIONER OF LABOR,,17,17,2,FRED DORRELL,DEM,32,207,743,982
11/06/2018,ATOKA,"FEDERAL, STATE AND COUNTY",10007,FOR COMMISSIONER OF LABOR,,17,17,3,BRANDT DISMUKES,IND,1,21,123,145
11/06/2018,ATOKA,"FEDERAL, STATE AND COUNTY",10008,FOR INSURANCE COMMISSIONER,,17,17,1,GLEN MULREADY,REP,65,489,2293,2847
11/06/2018,ATOKA,"FEDERAL, STATE AND COUNTY",10008,FOR INSURANCE COMMISSIONER,,17,17,2,KIMBERLY FOBBS,DEM,34,210,802,1046
11/06/2018,ATOKA,"FEDERAL, STATE AND COUNTY",10009,FOR CORPORATION COMMISSIONER,,17,17,1,BOB ANTHONY,REP,64,462,2225,2751
